fitness ,lr0     ,lrf     ,momentum ,weight_decay ,warmup_epochs ,warmup_momentum ,box     ,cls     ,dfl     ,hsv_h   ,hsv_s   ,hsv_v   ,degrees ,translate ,scale   ,shear ,perspective ,flipud ,fliplr  ,mosaic  ,mixup ,copy_paste
0.52248 ,0.00847 ,0.01578 , 0.84234 ,     0.00069 ,      3.95622 ,        0.57994 ,3.13654 ,0.55628 ,1.5175  ,0.01411 ,0.54128 ,0.17743 ,    0.0 ,  0.0799  ,0.62027 ,  0.0 ,        0.0 ,   0.0 ,0.52667 ,1.0     ,  0.0 ,       0.0
0.54338 ,0.00562 ,0.01762 , 0.82664 ,     0.00075 ,      4.41361 ,        0.43454 ,2.94585 ,0.52437 ,1.32952 ,0.01411 ,0.63347 ,0.25938 ,    0.0 ,  0.07915 ,0.5982  ,  0.0 ,        0.0 ,   0.0 ,0.42885 ,1.0     ,  0.0 ,       0.0
0.53735 ,0.0068  ,0.01707 , 0.8289  ,     0.0007  ,      3.50372 ,        0.56348 ,3.94824 ,0.5322  ,1.32138 ,0.014   ,0.54107 ,0.20905 ,    0.0 ,  0.07893 ,0.52434 ,  0.0 ,        0.0 ,   0.0 ,0.50227 ,0.98212 ,  0.0 ,       0.0
0.5343  ,0.00669 ,0.02053 , 0.83996 ,     0.00053 ,      3.44245 ,        0.50977 ,5.59081 ,0.66394 ,1.32952 ,0.01365 ,0.50518 ,0.21437 ,    0.0 ,  0.07828 ,0.46267 ,  0.0 ,        0.0 ,   0.0 ,0.51484 ,1.0     ,  0.0 ,       0.0
0.52139 ,0.00634 ,0.01603 , 0.85122 ,     0.00066 ,      3.25946 ,        0.47808 ,4.91506 ,0.53124 ,1.36671 ,0.01331 ,0.47635 ,0.20324 ,    0.0 ,  0.07854 ,0.48864 ,  0.0 ,        0.0 ,   0.0 ,0.4889  ,0.82047 ,  0.0 ,       0.0
0.53729 ,0.00496 ,0.0201  , 0.80507 ,     0.00085 ,      4.41361 ,        0.42701 ,2.73593 ,0.31853 ,1.71795 ,0.01135 ,0.578   ,0.28126 ,    0.0 ,  0.07427 ,0.64923 ,  0.0 ,        0.0 ,   0.0 ,0.4173  ,0.96612 ,  0.0 ,       0.0
0.5233  ,0.00686 ,0.01797 , 0.8289  ,     0.00076 ,      3.50372 ,        0.61588 ,4.45606 ,0.41075 ,1.39796 ,0.01268 ,0.53548 ,0.23618 ,    0.0 ,  0.08893 ,0.52434 ,  0.0 ,        0.0 ,   0.0 ,0.54671 ,1.0     ,  0.0 ,       0.0
0.54043 ,0.00562 ,0.01801 , 0.82556 ,     0.00074 ,      4.45671 ,        0.44201 ,2.94585 ,0.53248 ,1.33637 ,0.01422 ,0.6395  ,0.25605 ,    0.0 ,  0.0811  ,0.60052 ,  0.0 ,        0.0 ,   0.0 ,0.43753 ,0.9899  ,  0.0 ,       0.0
0.55413 ,0.00406 ,0.0202  , 0.84949 ,     0.00072 ,      3.64799 ,        0.36812 ,2.07569 ,0.47484 ,1.263   ,0.01309 ,0.63352 ,0.30196 ,    0.0 ,  0.03832 ,0.60052 ,  0.0 ,        0.0 ,   0.0 ,0.35699 ,0.86267 ,  0.0 ,       0.0
0.54801 ,0.00404 ,0.02028 , 0.84949 ,     0.00072 ,      3.71454 ,        0.35948 ,2.04604 ,0.47484 ,1.26774 ,0.0131  ,0.63352 ,0.30212 ,    0.0 ,  0.03843 ,0.60052 ,  0.0 ,        0.0 ,   0.0 ,0.36014 ,0.86106 ,  0.0 ,       0.0
0.5564  ,0.00303 ,0.02187 , 0.85682 ,     0.00072 ,      3.64799 ,        0.36812 ,2.07569 ,0.43868 ,1.263   ,0.01332 ,0.75363 ,0.3853  ,    0.0 ,  0.04128 ,0.55634 ,  0.0 ,        0.0 ,   0.0 ,0.46024 ,1.0     ,  0.0 ,       0.0
0.53852 ,0.00514 ,0.0212  , 0.83873 ,     0.00088 ,      4.29851 ,        0.37147 ,2.47829 ,0.55341 ,1.34749 ,0.01773 ,0.78464 ,0.3169  ,    0.0 ,  0.03513 ,0.73598 ,  0.0 ,        0.0 ,   0.0 ,0.35699 ,0.98654 ,  0.0 ,       0.0
0.54438 ,0.00401 ,0.01988 , 0.84949 ,     0.00073 ,      3.64799 ,        0.36812 ,2.10252 ,0.48021 ,1.23838 ,0.01309 ,0.63352 ,0.29634 ,    0.0 ,  0.03832 ,0.60052 ,  0.0 ,        0.0 ,   0.0 ,0.35178 ,0.86714 ,  0.0 ,       0.0
0.5529  ,0.00449 ,0.01763 , 0.9105  ,     0.00063 ,      3.72437 ,        0.4004  ,2.39332 ,0.42959 ,1.01491 ,0.01409 ,0.53189 ,0.2824  ,    0.0 ,  0.03924 ,0.67838 ,  0.0 ,        0.0 ,   0.0 ,0.29957 ,0.86267 ,  0.0 ,       0.0
